Product_category,Product_name,Product_price
Cases,Corsair 6500D Airflow Mid Tower Case,9200
Cases,Xigmatek Elysium II Full Tower Case,19999
Cases,Xigmatek Gaming Y Pro Arctic Argb Super Tower Case,3299
Cases,Xigmatek Gaming Y Pro Argb Super Tower Case,3249
Cases,Xigmatek Hero II Air FRGB + Z-Power II Z650 500W Mid Tower Case,2399
Cases,Xigmatek Endorphin WD Argb Super Tower Case,5899
Cases,Xigmatek Endorphin WD Arctic Argb Super Tower Case,5999
Cases,Asus RogZ11 GR101 Mini ITX Mini Tower Case,3700
Cases,Thermaltake View 71 Tg Snow ARGB Edition Full Tower Case,10000
Cases,Thermaltake View 300 MX Snow ARGB Edition Mid Tower Case,7800
Cases,Xigmatek Zoser Arctic Argb Super Tower Case,3550
Cases,Xigmatek Endorphin Air V2 Arctic Argb Mid Tower Case,4849
Cases,Xigmatek Endorphin Air V2 Argb Mid Tower Case,4799
Cases,Xigmatek Cubi Argb Super Tower Case,7799
Cases,Xigmatek Cubi Arctic Argb Super Tower Case,7999
Cases,Xigmatek AQUA Ultra Air Argb Super Tower Case,7349
Cases,Xigmatek AQUA Ultra Air Arctic Argb Super Tower Case,7499
Cases,Xigmatek Endorphin Ultra Arctic Argb Super Tower Case,5699
Cases,Xigmatek AQUA Ultra Arctic Argb Super Tower Case,7299
Cases,Xigmatek AQUA Ultra Argb Super Tower Case,7149
Cases,Cooler Master HAF 500 White Mid Tower Case,6350
Cases,Cooler Master HAF 500 Black Mid Tower Case,6250
Cases,Cooler Master Td500 Crystal Black Mid Tower Case,4300
Cases,Cooler COSMOS C700M Titanium Grey Silver Black Full Tower Case,25000
Cases,Cooler Master HAF 700 EVO Titanium Grey Full Tower Case,25000
Cases,Corsair Icue 3000D RGB Airflow White Mid Tower Case,5800
Cases,Corsair Icue 3000D RGB Airflow Black Mid Tower Case,5800
Cases,Corsair Icue 3000D Airflow White Mid Tower Case,5000
Cases,Corsair Icue 3000D Airflow Black Mid Tower Case,4800
Cases,Corsair Icue 7000D Airflow White Full Tower Case,13000
Cases,Corsair Icue 5000D RGB Airflow 3 Fans Af120 RGB Elite Tg White Mid Tower Case,11700
Cases,Corsair Icue 4000D RGB Airflow 3 Fans Af120 RGB Elite Tg White Mid Tower Case,7500
Cases,Thermaltake View 71 Tg ARGB Full Tower Case,9500
Power-supply,Asus Tuf Gaming 1000W 80 Plus Gold White Edition Fully Modular Power Supply,8200
Power-supply,Xigmatek Thor T850M 850W 80+ Bronze Full Modular Power Supply,3899
Power-supply,Asus Rog Strix 1000W Gold Aura Edition 80 Plus Gold Fully Modular Gaming Power Supply,11000
Power-supply,Asus Tuf Gaming 1000W 80 Plus Gold Fully Modular Power Supply,8000
Power-supply,Asus Tuf Gaming 1200W 80 Plus Gold Fully Modular Power Supply,10000
Power-supply,Asus Tuf Gaming 750W 80 Plus Gold Fully Modular Power Supply,5350
Power-supply,Asus Rog Thor 1200w Platinum II 80 Plus Platinum Fully Modular Gaming Power Supply,18500
Power-supply,Thermaltake Toughpower Gf A3 1200W 80 Plus Gold Tt Premium Edition ATX 3.0 Pcie 5.0 Fully Modular Power Supply,13000
Power-supply,Bitfenix Bpa600 600W Power Supply,1750
Power-supply,Cooler Master G800 GOLD 800W 80 PLUS Gold Power Supply,4750
Power-supply,Cooler Master MWE GOLD 1250 V2 1250W 80 PLUS Gold Fully Modular Power Supply,11000
Power-supply,Cooler Master MWE GOLD 1050 V2 1050W 80 PLUS Gold Fully Modular Power Supply,10000
Power-supply,Thermaltake Toughpower TF1 1550W 80 Plus Titanium Tt Premium Edition Fully Modular Power Supply,19499
Power-supply,Xigmatek Fury 1100W 80+ Gold Full Modular Power Supply,8499
Power-supply,Thermaltake Smart BM3 Bronze 850W 80 Plus Bronze PCIe Gen 5.0 Semi Modular Power Supply,5600
Power-supply,FSP Hydro Ptm Pro 1200W 80 Plus Platinum ATX 3.0 Fully Modular Power Supply,11000
Power-supply,Cooler Master Masterwatt 650 Semi Fanless 650W 80+ Bronze Semi Modular Power Supply,4400
Power-supply,Xigmatek Fury 850W 80+ Gold Gen 5 Full Modular Power Supply,6149
Power-supply,Gigabyte Ud1300Gm Pg5 1300W 80 Plus Gold Fully Modular Power Supply,14750
Power-supply,Gigabyte P650B 650W 80 Plus Bronze Power Supply,3500
Power-supply,Xigmatek Titan 1200W 80 Plus Platinum Fully Modular Gen 5 Power Supply,10499
